# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_2652	LOCUS_26360	sequence0013:131888..132229(+)	partial			WP_003899759.1	outer membrane channel protein/necrotizing toxin glycohydrolase CpnT	68.1	8.3	46.8
MGA_2660	LOCUS_26440	sequence0013:134559..135074(+)	frameshift,internal_stop_codon	134524..134526(+)	134508	WP_108084527.1	IS3 family transposase	93.0	42.2	47.2
MGA_2671	LOCUS_26550	sequence0013:150142..150852(+)	partial			WP_003899748.1	MinD/ParA family protein	99.6	68.9	93.2
MGA_2673	LOCUS_26570	sequence0013:152528..154024(+)	partial			WP_003400012.1	type VII secretion system ESX-2 serine protease mycosin MycP2	65.9	59.6	84.5
MGA_2680	LOCUS_26640	sequence0013:162855..165170(+)	partial			WP_010950952.1	type VII secretion system ESX-1 associated protein EspK	54.0	55.9	54.4
MGA_2682	LOCUS_26660	sequence0013:166470..167306(-)	partial			WP_003901751.1	type VII secretion system ESX-1 associated protein EspJ	83.5	73.9	48.3
MGA_2684	LOCUS_26680	sequence0013:168965..169984(-)	frameshift		170224,170185	WP_003909105.1	type VII secretion system ESX-1 associated protein EspI	87.3	44.4	67.6
MGA_2717	LOCUS_26990	sequence0014:33350..33733(+)	partial			WP_003418931.1	LppP/LprE family lipoprotein	90.6	52.3	76.5
MGA_2718	LOCUS_27000	sequence0014:33967..34545(+)	partial			WP_003418925.1	DUF2510 domain-containing protein	99.5	73.5	56.5
MGA_2730	LOCUS_27120	sequence0014:44532..46265(+)	partial			WP_003403850.1	phosphoglycerate mutase PE_PGRS11	56.2	55.5	66.8
MGA_2744	LOCUS_27260	sequence0014:62308..63699(-)	partial			WP_003900090.1	PPE family protein	65.0	59.3	53.8
MGA_2747	LOCUS_27290	sequence0014:65994..66278(-)	partial			WP_004190520.1	NADPH-dependent 2,4-dienoyl-CoA reductase	91.5	12.6	41.9
MGA_2760	LOCUS_27420	sequence0014:77566..79116(-)	partial			WP_011729255.1	serine/threonine-protein kinase	59.9	62.3	64.4
MGA_2763	LOCUS_27450	sequence0014:82950..83747(-)	frameshift		83911	WP_003403933.1	gamma-glutamyltranspeptidase GgtA	99.6	51.6	78.4
MGA_2764	LOCUS_27460	sequence0014:83738..84550(-)	frameshift		83917	WP_003403933.1	gamma-glutamyltranspeptidase GgtA	70.7	37.3	81.2
MGA_2771	LOCUS_27530	sequence0014:90052..91260(+)	partial			WP_003401488.1	type VII secretion system ESX-3 target PPE4	44.0	34.7	53.4
MGA_2786	LOCUS_27680	sequence0014:105459..106178(+)	frameshift,internal_stop_codon	105297..105299(+)	105256	WP_010886087.1	hypothetical protein	99.6	74.6	72.3
MGA_2787	LOCUS_27690	sequence0014:106205..107272(-)	partial			WP_003401347.1	PPE family protein	56.1	36.0	53.5
MGA_2790	LOCUS_27720	sequence0014:108523..108987(-)	frameshift		109030	WP_003403998.1	hypothetical protein	98.7	75.9	61.7
MGA_2795	LOCUS_27770	sequence0014:112910..113602(-)	internal_stop_codon	113603..113605(-)		WP_011728203.1	TetR/AcrR family transcriptional regulator	85.7	44.5	55.3
MGA_2796	LOCUS_27780	sequence0014:113603..114298(-)	internal_stop_codon	113603..113605(-)		WP_011728203.1	TetR/AcrR family transcriptional regulator	84.8	45.2	63.8
MGA_2802	LOCUS_27840	sequence0014:118933..119331(-)	internal_stop_codon	119350..119352(-)		WP_003404111.1	GNAT family protein	96.2	58.3	71.7
MGA_2803	LOCUS_27850	sequence0014:119350..119583(-)	internal_stop_codon	119350..119352(-)		WP_003404111.1	GNAT family protein	100.0	35.3	84.4
MGA_2813	LOCUS_27950	sequence0014:131249..131428(-)	partial			WP_003404135.1	DUF3073 domain-containing protein	66.1	65.0	92.3
MGA_2826	LOCUS_28080	sequence0014:144452..145003(+)	partial			WP_003903189.1	response regulator transcription factor	99.5	71.4	89.0
MGA_2881	LOCUS_28610	sequence0015:40060..41193(-)	partial			WP_003899377.1	DUF2189 domain-containing protein	64.5	78.5	60.8
MGA_2912	LOCUS_28920	sequence0015:71923..72591(-)	partial			WP_042510577.1	hypothetical protein	40.5	56.2	42.1
MGA_2920	LOCUS_29000	sequence0015:83841..85160(-)	partial			WP_202946090.1	hypothetical protein	50.1	53.9	47.6
MGA_2929	LOCUS_29090	sequence0015:97450..97767(+)	internal_stop_codon	97393..97395(+),97288..97290(+)		WP_003898857.1	integration host factor, actinobacterial type	100.0	55.3	85.7
MGA_2966	LOCUS_29460	sequence0015:138613..139338(-)	partial			WP_010950543.1	hypothetical protein	39.8	41.1	46.9
MGA_2985	LOCUS_29640	sequence0016:6773..7288(-)	frameshift		7356	WP_038967354.1	amidohydrolase family protein	98.8	45.1	35.4
MGA_2986	LOCUS_29650	sequence0016:7177..7839(-)	partial			WP_010908674.1	hypothetical protein	42.7	74.6	58.5
MGA_2990	LOCUS_29690	sequence0016:11235..11729(+)	frameshift,internal_stop_codon	11033..11035(+)	11209	WP_003905677.1	macro domain-containing protein	92.7	44.3	87.5
MGA_2997	LOCUS_29760	sequence0016:16855..19593(-)	partial			WP_010950616.1	PE family protein	12.8	24.2	70.1
MGA_3013	LOCUS_29920	sequence0016:32496..32795(+)	internal_stop_codon	32793..32795(+)		WP_003899064.1	chorismate mutase	88.9	43.7	64.8
MGA_3014	LOCUS_29930	sequence0016:33187..33600(+)	partial			WP_003409420.1	resuscitation-promoting factor RpfC	95.6	73.9	60.9
MGA_3020	LOCUS_29990	sequence0016:37487..41953(-)	partial			WP_163682492.1	non-ribosomal peptide synthetase	98.2	26.7	51.7
MGA_3026	LOCUS_30050	sequence0016:48261..48437(+)	partial			WP_003895017.1	(2Fe-2S)-binding protein	79.3	66.7	67.4
MGA_3051	LOCUS_30300	sequence0016:74365..75375(-)	partial			WP_003409337.1	adhesin Apa	55.1	56.9	80.5
MGA_3074	LOCUS_30530	sequence0016:97044..98708(+)	partial			WP_010886091.1	PE family protein	21.3	19.5	50.0
MGA_3079	LOCUS_30580	sequence0016:105478..107043(+)	partial			WP_010886108.1	PE family protein	24.6	15.5	62.1
MGA_3093	LOCUS_30720	sequence0016:123422..124564(+)	partial			WP_010950464.1	PE family protein	32.1	19.4	52.5
MGA_3099	LOCUS_30780	sequence0017:7429..7962(+)	internal_stop_codon	7960..7962(+)		WP_011730370.1	NAD(P)H-binding protein	100.0	46.8	68.4
MGA_3100	LOCUS_30790	sequence0017:8008..8577(+)	internal_stop_codon	7960..7962(+)		WP_011730370.1	NAD(P)H-binding protein	97.9	48.1	54.6
MGA_3113	LOCUS_30920	sequence0017:20071..20586(-)	frameshift		20586,20619,20638	WP_009936776.1	DUF1697 domain-containing protein	100.0	82.6	73.3
MGA_3118	LOCUS_30970	sequence0017:22152..23363(-)	partial			WP_003406066.1	hypothetical protein	35.2	38.3	86.6
MGA_3127	LOCUS_31060	sequence0017:33178..34308(+)	partial			WP_010886133.1	PE family protein	56.1	34.7	34.3
MGA_3130	LOCUS_31090	sequence0017:36240..36599(+)	internal_stop_codon	36156..36158(+)		WP_003406163.1	hypothetical protein	99.2	80.8	72.9
MGA_3141	LOCUS_31200	sequence0017:53381..55393(-)	partial			WP_010886177.1	PE family protein	18.2	20.9	56.6
MGA_3145	LOCUS_31240	sequence0017:58816..59160(+)	partial			WP_003401360.1	nitrate/nitrite transporter	80.7	19.8	57.0
MGA_3146	LOCUS_31250	sequence0017:59887..61245(+)	partial			WP_003401488.1	type VII secretion system ESX-3 target PPE4	41.8	37.0	58.4
MGA_3163	LOCUS_31420	sequence0017:80635..81063(-)	frameshift,internal_stop_codon	81063..81065(-)	81029	WP_003419293.1	3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA hydratase subunit alpha ChsH2	85.2	37.9	47.9
MGA_3164	LOCUS_31430	sequence0017:81063..81611(-)	frameshift		81071	WP_013224382.1	OB-fold domain-containing protein	87.4	50.3	47.2
MGA_3186	LOCUS_31650	sequence0017:104106..104273(+)	partial			WP_003900293.1	DUF3117 domain-containing protein	100.0	73.3	100.0
MGA_3189	LOCUS_31680	sequence0017:106975..108771(-)	partial			WP_010886108.1	PE family protein	20.4	14.3	51.6
MGA_3193	LOCUS_31700	sequence0018:2624..3667(-)	partial			WP_011727218.1	cytochrome P450	93.9	71.6	55.2
MGA_3223	LOCUS_32000	sequence0018:38382..40331(+)	partial			WP_003900169.1	hypothetical protein	64.9	74.5	56.2
MGA_3235	LOCUS_32120	sequence0018:49135..49836(-)	partial			WP_010908794.1	hypothetical protein	65.7	73.9	56.2
MGA_3260	LOCUS_32370	sequence0018:79761..82148(-)	partial			WP_013399334.1	ABC transporter permease	55.7	51.5	21.2
MGA_3266	LOCUS_32430	sequence0018:88471..88668(+)	partial			WP_003894957.1	hypothetical protein	93.8	73.5	54.1
MGA_3269	LOCUS_32460	sequence0018:90716..91546(-)	partial			WP_003417299.1	BTAD domain-containing putative transcriptional regulator	97.5	70.3	60.6
MGA_3270	LOCUS_32470	sequence0018:92868..94709(+)	frameshift,internal_stop_codon	94015..94017(+),94017..94019(+),94152..94154(+),94137..94139(+),94135..94137(+),94150..94152(+)	94661,93959,93935,94205,94709,94581,94583,94203,93821	WP_010886126.1	PPE family protein	93.3	54.4	58.5
MGA_3271	LOCUS_32480	sequence0018:94693..95721(+)	frameshift,internal_stop_codon	95044..95046(+)	94688,94706,95079,94664,95644,94989	WP_003906700.1	PPE family protein	84.2	31.2	39.5
MGA_3272	LOCUS_32490	sequence0018:95672..96199(+)	frameshift		95643,95535	WP_010886126.1	PPE family protein	98.9	16.4	73.4
MGA_3282	LOCUS_32590	sequence0018:107741..108763(+)	partial			WP_003900174.1	TIGR03086 family metal-binding protein	95.3	74.7	72.2
MGA_3293	LOCUS_32680	sequence0019:10078..11514(-)	partial			WP_011727115.1	hypothetical protein	68.2	59.4	38.4
MGA_3364	LOCUS_33390	sequence0019:90843..93317(-)	partial			WP_010886090.1	PE family protein	15.0	14.1	59.7
MGA_3385	LOCUS_33580	sequence0020:18442..18885(-)	partial			WP_003420408.1	YbaB/EbfC family nucleoid-associated protein	65.3	72.2	77.1
MGA_3390	LOCUS_33630	sequence0020:22967..23209(+)	partial			WP_011729752.1	lipopolysaccharide assembly protein LapA domain-containing protein	60.0	63.2	60.4
MGA_3393	LOCUS_33660	sequence0020:24273..26174(-)	partial			WP_003420417.1	DNA polymerase III subunits gamma/tau	61.1	67.0	87.1
MGA_3395	LOCUS_33680	sequence0020:27964..28806(+)	partial			WP_003420421.1	lipid uptake coordinator LucA	57.5	63.4	83.2
MGA_3441	LOCUS_34140	sequence0020:79497..79982(+)	partial			WP_003408004.1	TM2 domain-containing protein	68.9	69.9	46.5
MGA_3450	LOCUS_34230	sequence0020:83471..85510(+)	partial			WP_015942861.1	hypothetical protein	35.8	38.8	25.8
MGA_3461	LOCUS_34340	sequence0020:93336..93590(+)	partial			WP_003899680.1	DUF1049 domain-containing protein	92.9	66.7	61.5
MGA_3464	LOCUS_34370	sequence0020:95807..99067(+)	partial			WP_010886147.1	PE family protein	10.6	6.9	40.0
MGA_3465	LOCUS_34380	sequence0020:99276..100337(+)	partial			WP_010886108.1	PE family protein	34.6	14.2	50.8
MGA_3471	LOCUS_34430	sequence0021:4326..6116(-)	partial			WP_010950514.1	serine/threonine-protein kinase PknH/PknJ	69.6	66.1	77.3
MGA_3478	LOCUS_34500	sequence0021:10816..11148(-)	partial			WP_003406566.1	DUF732 domain-containing protein	71.8	69.9	73.4
MGA_3479	LOCUS_34510	sequence0021:11869..13671(+)	internal_stop_codon	13669..13671(+)		WP_010950464.1	PE family protein	21.7	21.4	54.6
MGA_3502	LOCUS_34740	sequence0021:38429..39832(+)	partial			WP_010886177.1	PE family protein	26.1	20.9	57.4
MGA_3503	LOCUS_34750	sequence0021:39841..41592(-)	partial			WP_011144393.1	potassium channel protein	85.6	73.1	26.8
MGA_3509	LOCUS_34810	sequence0021:46042..47385(-)	internal_stop_codon	47404..47406(-)		WP_003406864.1	adenylate/guanylate cyclase domain-containing protein	98.4	81.3	64.8
MGA_3510	LOCUS_34820	sequence0021:47404..47628(-)	internal_stop_codon	47404..47406(-)		WP_003406864.1	adenylate/guanylate cyclase domain-containing protein	100.0	13.7	55.4
MGA_3511	LOCUS_34830	sequence0021:47823..48467(-)	partial			WP_024502103.1	TMEM175 family protein	46.3	50.5	41.2
MGA_3512	LOCUS_34840	sequence0021:48352..49680(-)	partial			WP_164929952.1	DMT family transporter	66.1	82.0	45.5
MGA_3514	LOCUS_34860	sequence0021:50807..51319(+)	partial			WP_010886133.1	PE family protein	62.4	21.5	53.3
MGA_3518	LOCUS_34900	sequence0021:54824..55183(+)	partial			WP_011123284.1	YciI family protein	84.0	45.5	43.6
MGA_3549	LOCUS_35200	sequence0022:1496..1903(+)	frameshift,internal_stop_codon	1901..1903(+)	1963	WP_003413891.1	1-deoxy-D-xylulose-5-phosphate synthase	100.0	21.2	89.6
MGA_3550	LOCUS_35210	sequence0022:1962..2336(+)	frameshift,internal_stop_codon	1901..1903(+)	1927	WP_003413891.1	1-deoxy-D-xylulose-5-phosphate synthase	100.0	19.6	83.2
MGA_3572	LOCUS_35430	sequence0022:26923..28185(+)	partial			WP_198040062.1	serine/threonine-protein kinase	61.2	50.0	28.1
MGA_3573	LOCUS_35440	sequence0022:28889..31102(-)	partial			WP_010886116.1	PE family protein	16.6	24.8	63.9
MGA_3575	LOCUS_35460	sequence0022:32585..33016(-)	frameshift		33021	WP_003413686.1	ACR3 family arsenite efflux transporter	90.2	25.9	84.5
MGA_3576	LOCUS_35470	sequence0022:33013..34107(-)	frameshift		33021	WP_010950755.1	ACR3 family arsenite efflux transporter	98.6	72.1	88.6
MGA_3588	LOCUS_35590	sequence0022:42769..45087(+)	partial			WP_009938544.1	PE family protein	15.3	15.2	64.4
MGA_3595	LOCUS_35660	sequence0022:52974..53654(+)	partial			WP_013225629.1	hypothetical protein	41.2	75.2	33.3
MGA_3618	LOCUS_35890	sequence0022:73484..75271(-)	partial			WP_010886177.1	PE family protein	20.8	21.2	50.0
MGA_3625	LOCUS_35960	sequence0022:83063..87232(+)	partial			WP_010886117.1	PE family protein	9.6	10.1	61.9
MGA_3626	LOCUS_35970	sequence0022:87396..89360(+)	partial			WP_010886165.1	PE family protein	18.5	7.9	59.5
MGA_3671	LOCUS_36410	sequence0023:39568..40359(+)	frameshift		40080	WP_011729905.1	GNAT family N-acetyltransferase	63.5	41.1	65.9
MGA_3672	LOCUS_36420	sequence0023:40284..40784(+)	frameshift		40080	WP_011729905.1	GNAT family N-acetyltransferase	100.0	40.9	49.4
MGA_3703	LOCUS_36730	sequence0023:74110..75498(-)	partial			WP_004191694.1	ATP-dependent zinc metalloprotease FtsH	49.6	36.6	32.9
MGA_3704	LOCUS_36740	sequence0023:75631..76803(-)	partial			WP_041272317.1	nitroreductase family protein	56.4	74.2	24.2
MGA_3710	LOCUS_36800	sequence0023:80537..81511(+)	partial			WP_010950570.1	PE domain-containing protein	74.4	30.0	26.3
MGA_3716	LOCUS_36860	sequence0023:87606..87869(+)	partial			WP_011704876.1	2TM domain-containing protein	90.8	47.6	27.8
MGA_3717	LOCUS_36870	sequence0023:87974..89359(-)	partial			WP_012257994.1	AMP-binding protein	55.5	53.4	27.4
MGA_3719	LOCUS_36890	sequence0023:90533..>93806(-)	partial			WP_003917711.1	type I polyketide synthase	91.7	61.7	58.3
MGA_3750	LOCUS_37190	sequence0024:31230..31796(+)	frameshift		31218	WP_013225103.1	methyltransferase domain-containing protein	96.3	61.8	34.9
MGA_3766	LOCUS_37350	sequence0024:47558..48004(-)	partial			WP_030862061.1	pyridoxamine 5'-phosphate oxidase family protein	86.5	41.7	35.7
MGA_3778	LOCUS_37470	sequence0024:56942..57307(-)	partial			WP_013225571.1	helix-turn-helix transcriptional regulator	79.3	31.6	51.0
MGA_3781	LOCUS_37500	sequence0024:58408..58590(+)	frameshift		58400	WP_011202637.1	carboxymuconolactone decarboxylase family protein	88.3	19.5	60.4
MGA_3786	LOCUS_37550	sequence0024:61553..63295(-)	partial			WP_002851428.1	ATP-binding protein	45.7	50.9	21.9
MGA_3794	LOCUS_37630	sequence0024:74036..74683(+)	partial			WP_011730307.1	hypothetical protein	94.4	74.6	33.5
MGA_3798	LOCUS_37670	sequence0024:76854..77354(-)	partial			WP_003416124.1	hypothetical protein	39.2	44.1	66.2
MGA_3813	LOCUS_37820	sequence0025:152..1567(-)	partial			WP_015287743.1	DUF4226 domain-containing protein	27.2	26.8	40.6
MGA_3826	LOCUS_37950	sequence0025:15045..16313(+)	partial			WP_011031303.1	membrane protein	71.1	55.2	33.1
MGA_3829	LOCUS_37980	sequence0025:18072..23798(+)	partial			WP_010774229.1	DEAD/DEAH box helicase family protein	53.3	31.5	34.5
MGA_3832	LOCUS_38010	sequence0025:25391..26260(-)	partial			WP_011730517.1	MPT63 family protein	89.3	70.8	41.8
MGA_3836	LOCUS_38050	sequence0025:28127..28516(+)	frameshift		27993,27971	WP_005088797.1	hypothetical protein	100.0	43.8	44.7
MGA_3848	LOCUS_38170	sequence0025:35897..36769(+)	partial			WP_236678847.1	phosphoadenosine phosphosulfate reductase family protein	84.8	57.1	41.5
MGA_3860	LOCUS_38290	sequence0025:44897..50743(+)	partial			WP_012296243.1	MobF family relaxase	43.9	72.9	29.6
MGA_3865	LOCUS_38340	sequence0025:54242..55036(-)	partial			WP_077174050.1	DNA adenine methylase	52.3	54.0	31.6
MGA_3874	LOCUS_38430	sequence0025:63881..64831(-)	partial			WP_189749591.1	conjugal transfer protein	42.4	38.5	35.9
MGA_3881	LOCUS_38500	sequence0025:71672..73318(-)	partial			WP_003408859.1	type VII secretion system ESX-5 subunit EccE5	60.2	83.7	27.4
MGA_3884	LOCUS_38530	sequence0025:76278..77708(-)	partial			WP_005113178.1	MinD/ParA family protein	66.8	49.1	39.3
MGA_3890	LOCUS_38590	sequence0025:81308..84304(-)	partial			WP_013224114.1	type VII secretion protein EccC	97.6	71.6	34.2
MGA_3891	LOCUS_38600	sequence0025:84307..85458(-)	frameshift,internal_stop_codon	84307..84309(-)	84300	WP_003408799.1	type VII secretion system ESX-5 FtsK/SpoIIIE family ATPase EccC5	80.4	21.9	32.8
MGA_3893	LOCUS_38620	sequence0025:87003..88070(-)	partial			WP_011729282.1	hypothetical protein	43.4	68.5	46.8
MGA_3900	LOCUS_38680	sequence0026:5080..6141(-)	partial			WP_003112998.1	thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha	66.3	72.8	39.8
MGA_3904	LOCUS_38720	sequence0026:8553..11159(+)	partial			WP_010886084.1	PE family protein	14.5	16.1	44.4
MGA_3935	LOCUS_39030	sequence0026:43452..45389(-)	partial			WP_003899240.1	Hsp70 family protein	73.6	77.0	65.8
MGA_3940	LOCUS_39080	sequence0026:49982..50608(-)	partial			WP_010940624.1	class I SAM-dependent methyltransferase	51.9	43.1	33.6
MGA_3950	LOCUS_39180	sequence0026:56773..57780(-)	partial			WP_013222574.1	LLM class flavin-dependent oxidoreductase	58.2	58.4	31.7
MGA_3955	LOCUS_39230	sequence0026:62905..63138(-)	frameshift,internal_stop_codon	63154..63156(-)	62907,62886	WP_085976166.1	IS3 family transposase	97.4	19.7	45.3
MGA_3969	LOCUS_39370	sequence0026:78498..79151(+)	partial			WP_013225120.1	class I SAM-dependent methyltransferase	71.9	78.0	35.2
MGA_3976	LOCUS_39440	sequence0026:86524..86940(+)	frameshift		86521	WP_013225434.1	M15 family metallopeptidase	68.1	43.5	41.0
MGA_3998	LOCUS_39640	sequence0027:20771..22141(+)	partial			WP_010950878.1	PE family protein	33.1	23.2	52.3
MGA_3999	LOCUS_39650	sequence0027:22318..22527(+)	partial			WP_005065012.1	CbtB-domain containing protein	63.8	64.7	75.0
MGA_4039	LOCUS_40050	sequence0027:59770..60315(-)	partial			WP_003408271.1	protein disulfide oxidoreductase	74.6	74.2	57.8
MGA_4086	LOCUS_40510	sequence0028:27427..27762(-)	partial			WP_010907580.1	zinc ribbon domain-containing protein	52.3	58.6	89.7
MGA_4095	LOCUS_40600	sequence0028:36986..38107(+)	partial			WP_011027473.1	glycogen synthase	70.2	74.4	30.7
MGA_4096	LOCUS_40610	sequence0028:38201..38962(+)	partial			WP_033448326.1	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	45.1	45.2	42.2
MGA_4102	LOCUS_40670	sequence0028:44811..45761(+)	partial			WP_082769289.1	class I SAM-dependent methyltransferase	78.2	74.6	52.2
MGA_4107	LOCUS_40720	sequence0028:51828..52874(-)	partial			WP_012257358.1	WecB/TagA/CpsF family glycosyltransferase	47.7	32.9	38.0
MGA_4116	LOCUS_40810	sequence0028:58976..59557(+)	internal_stop_codon	58874..58876(+)		WP_003405165.1	DUF5642 family protein	99.0	75.8	72.3
MGA_4139	LOCUS_41030	sequence0029:3268..3471(+)	partial			WP_003419633.1	hypothetical protein	58.2	61.9	82.1
MGA_4185	LOCUS_41490	sequence0029:48032..48394(-)	partial			WP_005088224.1	PAS and ANTAR domain-containing protein	77.5	41.2	47.3
MGA_4193	LOCUS_41570	sequence0029:52364..54592(+)	partial			WP_013227688.1	SpoIIE family protein phosphatase	93.3	51.8	38.7
MGA_4198	LOCUS_41620	sequence0029:60642..62468(-)	partial			WP_135359439.1	MFS transporter	73.4	80.8	38.6
MGA_4205	LOCUS_41680	sequence0029:68954..70213(+)	frameshift		68877	WP_003419768.1	membrane protein	79.2	74.7	65.6
MGA_4212	LOCUS_41750	sequence0029:76460..77164(+)	partial			WP_050039320.1	PadR family transcriptional regulator	61.5	76.6	76.4
MGA_4241	LOCUS_42020	sequence0030:35045..35395(+)	frameshift		35389	WP_003899719.1	metallopeptidase family protein	99.1	83.9	84.3
MGA_4245	LOCUS_42060	sequence0030:38282..39502(+)	partial			WP_235624060.1	LCP family protein	79.3	74.3	65.5
MGA_4248	LOCUS_42090	sequence0030:41088..41876(-)	partial			WP_003420931.1	DUF4328 domain-containing protein	100.0	72.2	58.0
MGA_4251	LOCUS_42120	sequence0030:44511..45263(+)	internal_stop_codon	45261..45263(+)		WP_003399745.1	TMEM165/GDT1 family protein	90.0	75.2	63.8
MGA_4271	LOCUS_42320	sequence0030:66977..68062(+)	partial			WP_003899736.1	type VII secretion system ESX-1 associated protein EspE	74.2	67.9	32.0
MGA_4283	LOCUS_42430	sequence0031:9747..11645(+)	frameshift,internal_stop_codon	11872..11874(+),11873..11875(+)	11854,11934,11814	WP_010950840.1	PPE family protein	32.4	34.3	62.8
MGA_4299	LOCUS_42590	sequence0031:30377..31717(+)	partial			WP_003901551.1	PPE family protein	38.8	42.3	70.5
MGA_4323	LOCUS_42830	sequence0031:55142..55345(+)	partial			WP_001830666.1	acetolactate synthase AlsS	70.1	8.5	48.9
MGA_4325	LOCUS_42850	sequence0031:57262..57570(+)	partial			WP_003401485.1	type VII secretion system ESX-3 target PE5	69.6	69.6	50.7
MGA_4337	LOCUS_42950	sequence0032:9336..10025(+)	frameshift		9183	WP_085976166.1	IS3 family transposase	98.7	59.3	46.1
MGA_4338	LOCUS_42960	sequence0032:10157..10546(+)	partial			WP_003406566.1	DUF732 domain-containing protein	68.2	75.2	34.1
MGA_4339	LOCUS_42970	sequence0032:10653..11231(-)	partial			WP_010950451.1	PE family protein	46.9	10.8	41.1
MGA_4349	LOCUS_43070	sequence0032:23708..24082(-)	frameshift		23740	WP_003416005.1	TetR/AcrR family transcriptional regulator	92.7	56.9	61.7
MGA_4353	LOCUS_43110	sequence0032:28227..29024(-)	partial			WP_010957831.1	Gfo/Idh/MocA family oxidoreductase	52.5	27.7	32.4
MGA_4358	LOCUS_43160	sequence0032:32508..32831(-)	partial			WP_011015077.1	Hsp70 family protein	92.5	21.5	41.5
MGA_4362	LOCUS_43200	sequence0032:38170..38754(+)	partial			WP_014877829.1	hypothetical protein	61.3	72.0	38.6
MGA_4370	LOCUS_43280	sequence0032:46579..46935(-)	partial			WP_011730106.1	OB-fold domain-containing protein	77.1	16.7	41.3
MGA_4371	LOCUS_43290	sequence0032:46986..48179(+)	partial			WP_011730106.1	OB-fold domain-containing protein	98.7	69.3	43.5
MGA_4387	LOCUS_43440	sequence0033:6874..8022(-)	partial			WP_013227909.1	DUF5685 family protein	85.6	68.8	52.1
MGA_4400	LOCUS_43570	sequence0033:19964..21328(+)	partial			WP_010886177.1	PE family protein	28.0	21.7	61.4
MGA_4419	LOCUS_43760	sequence0033:45432..45908(-)	partial			WP_011029283.1	hypothetical protein	71.5	6.8	59.5
MGA_4420	LOCUS_43770	sequence0033:45925..50334(-)	frameshift		46488,46458,46428	WP_011029283.1	hypothetical protein	56.2	46.5	34.8
MGA_4422	LOCUS_43790	sequence0033:52319..53797(+)	partial			WP_010886177.1	PE family protein	30.9	26.9	41.1
MGA_4443	LOCUS_43990	sequence0034:17482..17985(+)	partial			WP_010950494.1	hypothetical protein	82.0	59.1	78.1
MGA_4446	LOCUS_44020	sequence0034:19320..20021(-)	frameshift		20026	WP_003898734.1	hypothetical protein	98.7	80.8	77.9
MGA_4453	LOCUS_44090	sequence0034:25118..25705(-)	partial			WP_010908039.1	TetR/AcrR family transcriptional regulator	45.6	61.3	59.6
MGA_4464	LOCUS_44200	sequence0034:37459..38733(-)	partial			WP_005064806.1	TetR/AcrR family transcriptional regulator	36.8	70.2	33.3
MGA_4466	LOCUS_44220	sequence0034:39451..40422(+)	frameshift		40252,40230	WP_003899929.1	PPE family protein	100.0	83.1	48.0
MGA_4468	LOCUS_44240	sequence0034:42027..42641(+)	partial			WP_030568499.1	IS110 family transposase	98.0	48.1	44.5
MGA_4473	LOCUS_44290	sequence0034:50818..52617(-)	partial			WP_003906700.1	PPE family protein	94.7	44.7	31.9
MGA_4488	LOCUS_44430	sequence0035:12056..12643(-)	internal_stop_codon	12659..12661(-)		WP_003402248.1	DUF1295 domain-containing protein	99.0	75.4	77.2
MGA_4489	LOCUS_44440	sequence0035:12659..12850(-)	internal_stop_codon	12659..12661(-)		WP_003402248.1	DUF1295 domain-containing protein	85.7	21.1	61.1
MGA_4551	LOCUS_45040	sequence0036:25032..26831(+)	partial			WP_010886108.1	PE family protein	21.4	15.0	64.1
MGA_4566	LOCUS_45190	sequence0036:43511..43915(+)	partial			WP_011729649.1	hypothetical protein	92.5	74.6	40.5
MGA_4569	LOCUS_45220	sequence0036:47085..47504(+)	frameshift		47448,47106,47587	WP_121576702.1	IS3 family transposase	82.7	30.9	36.5
MGA_4611	LOCUS_45630	sequence0037:41854..43620(+)	partial			WP_011729702.1	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	55.1	55.4	80.3
MGA_4624	LOCUS_45740	sequence0038:8925..9329(+)	partial			WP_003406258.1	anti-sigma E factor RseA	84.3	73.4	84.1
MGA_4631	LOCUS_45810	sequence0038:16049..16717(-)	partial			WP_010950507.1	DUF4190 domain-containing protein	37.4	41.9	68.7
MGA_4653	LOCUS_46030	sequence0038:45157..45930(-)	partial			WP_003900088.1	PPE family protein	69.6	30.2	50.3
MGA_4679	LOCUS_46280	sequence0039:25905..27539(-)	partial			WP_003899118.1	PecA family PE domain-processing aspartic protease	21.0	21.1	50.0
MGA_4700	LOCUS_46470	sequence0040:3041..4495(+)	partial			WP_011731079.1	adenylate/guanylate cyclase domain-containing protein	74.2	64.3	32.3
MGA_4704	LOCUS_46510	sequence0040:6863..7042(-)	internal_stop_codon	6863..6865(-)		WP_011726768.1	IS1380-like element ISMsm3 family transposase	83.1	10.5	81.6
MGA_4724	LOCUS_46710	sequence0040:29972..31462(+)	partial			WP_011388984.1	esterase-like activity of phytase family protein	72.2	83.1	29.9
